CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-5-25,18,14,12,14,13,11,94,83,72,1021,1020,1019,10,10,10,35,14,,0.00,5,,320
2015-5-26,19,16,12,14,11,7,88,72,49,1025,1023,1020,10,10,10,27,18,,0.00,7,,353
2015-5-27,21,16,12,13,11,9,82,68,49,1025,1024,1022,10,10,10,27,14,,0.00,2,,353
2015-5-28,18,16,13,12,11,10,94,79,64,1022,1020,1018,10,10,10,26,18,,0.00,7,,310
2015-5-29,18,16,13,13,11,9,94,75,59,1018,1017,1016,10,10,10,24,18,,0.00,5,,297
2015-5-30,19,17,14,14,12,9,94,78,64,1019,1018,1017,10,10,10,23,13,,0.00,7,,243
2015-5-31,19,17,14,15,14,12,94,86,73,1018,1017,1016,10,9,2,27,18,,0.00,7,Rain,229
2015-6-1,18,14,12,12,10,8,94,73,52,1020,1019,1018,10,10,10,21,14,,0.00,5,,292
2015-6-2,19,17,15,14,12,11,88,75,64,1021,1019,1017,10,10,10,27,19,,0.00,3,,235
2015-6-3,20,18,16,15,14,13,94,80,68,1025,1023,1021,10,10,10,23,11,,0.00,8,,288
2015-6-4,32,23,14,19,16,12,94,67,38,1024,1020,1016,,,,16,10,,0.00,,,53
2015-6-5,24,20,16,18,16,13,88,79,68,1022,1018,1016,10,10,10,37,18,,0.00,1,,299
2015-6-6,23,18,14,15,12,8,88,67,52,1026,1024,1022,10,10,10,27,21,,0.00,6,,348
2015-6-7,25,19,13,10,9,7,72,53,36,1027,1025,1023,,,,32,23,,0.00,,,40
2015-6-8,25,19,14,10,8,5,77,50,31,1024,1022,1020,,,,32,23,50,0.00,,,30
2015-6-9,23,17,12,11,8,5,77,55,41,1022,1020,1016,10,10,10,35,24,55,0.00,1,,32
2015-6-10,18,16,14,15,12,8,94,76,52,1018,1015,1013,10,10,10,27,23,,0.00,8,,57
2015-6-11,25,20,15,17,15,13,100,78,53,1014,1012,1009,10,7,5,19,10,,0.00,5,Rain,135
2015-6-12,19,17,15,16,14,11,100,84,68,1013,1010,1008,10,8,5,26,13,,0.00,7,Rain,290
2015-6-13,22,17,13,17,14,11,94,83,64,1013,1012,1010,10,9,3,21,14,,0.00,6,Rain,358
2015-6-14,18,17,16,16,15,14,94,90,83,1014,1011,1009,10,10,7,19,10,,0.00,8,Rain,359
2015-6-15,18,16,14,16,14,13,94,92,88,1021,1017,1015,10,8,2,21,16,,0.00,8,Fog-Rain,331
2015-6-16,22,18,15,16,14,9,94,78,46,1025,1022,1021,10,9,8,27,14,,0.00,7,,343
2015-6-17,21,16,12,14,11,9,88,70,53,1027,1026,1025,10,10,10,34,16,,0.00,1,,338
2015-6-18,22,18,15,17,14,12,94,83,64,1026,1024,1022,10,10,10,32,16,,0.00,6,,305
2015-6-19,20,17,13,15,14,12,94,81,64,1023,1022,1021,10,10,10,32,18,,0.00,6,,322
2015-6-20,22,17,12,14,12,10,88,69,50,1024,1023,1022,,,,29,14,,0.00,,,329
2015-6-21,23,18,14,17,14,11,94,76,61,1022,1020,1019,,,,29,13,,0.00,,,320
2015-6-22,22,17,13,16,13,10,94,75,49,1019,1016,1014,,,,34,14,,0.00,,,318
2015-6-23,22,18,15,15,12,8,94,71,43,1019,1017,1015,10,10,10,29,19,,0.00,7,,339
2015-6-24,24,18,12,14,11,9,82,61,41,1022,1020,1019,,,,29,14,,0.00,,,352
2015-6-25,27,20,13,16,12,8,83,59,32,1022,1021,1021,,,,23,11,,0.00,,,333
2015-6-26,26,21,16,18,14,8,83,66,34,1021,1020,1020,10,10,10,32,13,,0.00,8,,297
2015-6-27,23,20,17,17,16,13,94,77,57,1023,1022,1021,10,10,6,23,16,,0.00,7,Rain,293
2015-6-28,22,18,15,16,14,12,94,76,60,1023,1021,1020,10,10,10,32,14,,0.00,1,,301
2015-6-29,27,21,16,17,15,12,94,69,44,1023,1021,1018,10,10,10,23,14,,0.00,4,,327
2015-6-30,37,28,19,18,14,12,68,45,22,1018,1013,1010,,,,26,18,,0.00,,,113
2015-7-1,25,22,20,20,18,16,94,78,65,1016,1013,1009,10,10,9,26,14,,0.00,5,Rain,238
2015-7-2,25,21,18,18,17,14,88,77,61,1023,1018,1013,10,10,10,37,19,,0.00,6,Rain-Thunderstorm,335
2015-7-3,33,24,17,19,16,13,83,59,29,1023,1019,1015,,,,27,14,,0.00,,,102
2015-7-4,24,21,19,19,17,14,94,76,61,1023,1021,1017,10,9,7,29,21,,0.00,2,,305
2015-7-5,25,21,17,16,14,12,88,70,44,1023,1019,1017,10,10,10,34,19,,0.00,,,325
2015-7-6,27,20,13,17,13,10,94,66,41,1023,1020,1015,,,,27,13,,0.00,,,346
2015-7-7,23,20,18,19,15,12,94,73,57,1019,1016,1015,10,10,10,27,16,,0.00,6,Rain,299
