DAY,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-5-26,18,11,4,8,3,-2,93,58,24,1015,1012,1010,19,12,9,18,8,,0.00,4,Rain,220
2015-5-27,18,12,6,9,6,1,100,68,31,1014,1012,1008,19,10,6,32,13,40,5.08,3,Rain-Thunderstorm,235
2015-5-28,12,8,4,8,6,3,100,84,50,1009,1006,1003,19,10,5,21,10,40,12.95,4,Fog-Rain-Thunderstorm,289
2015-5-29,10,8,5,4,2,1,85,68,50,1016,1012,1007,19,10,10,21,16,40,0.00,6,,327
2015-5-30,12,8,3,7,3,0,93,68,44,1019,1017,1016,19,12,10,14,8,,0.00,7,Rain,298
2015-5-31,19,13,8,8,5,1,94,56,30,1020,1019,1017,19,12,10,18,5,,0.00,6,,236
2015-6-1,21,14,8,12,8,6,99,64,38,1020,1016,1013,19,10,6,18,3,,0.00,8,Fog,130
2015-6-2,26,19,13,17,11,8,93,62,36,1015,1014,1013,19,11,9,21,6,47,3.05,4,Rain,185
2015-6-3,23,18,13,16,9,5,94,57,33,1017,1016,1014,19,13,10,21,11,32,0.00,7,,308
2015-6-4,25,18,11,13,9,7,88,53,32,1018,1016,1013,19,19,19,21,10,,0.00,8,,103
2015-6-5,27,22,17,17,12,9,67,51,37,1013,1010,1008,19,14,10,21,14,,0.00,3,,132
2015-6-6,26,22,18,18,15,12,94,63,47,1008,1007,1005,19,10,8,21,11,40,5.08,2,Rain-Thunderstorm,124
2015-6-7,28,23,18,19,15,10,94,62,32,1006,1004,1002,19,11,10,21,13,,11.94,2,Thunderstorm,112
2015-6-8,27,23,19,17,12,7,71,47,32,1003,1000,997,19,12,10,29,16,50,0.00,3,,123
2015-6-9,18,18,14,15,12,9,94,70,46,996,992,991,19,10,6,21,14,,16.00,4,Rain,138
2015-6-10,13,12,11,13,9,6,95,77,63,1005,995,990,19,10,5,29,21,50,7.87,5,Rain,216
2015-6-11,16,12,9,9,6,4,79,64,48,1008,1006,1005,19,10,9,26,18,40,1.02,3,Rain,216
2015-6-12,18,14,11,9,7,4,84,60,39,1010,1009,1007,19,10,9,18,8,,0.51,3,Rain,251
2015-6-13,19,16,12,12,8,4,86,60,40,1010,1008,1006,19,10,8,21,8,50,6.10,3,Rain,163
2015-6-14,21,16,11,13,9,5,94,67,35,1006,1001,998,19,12,10,32,11,55,2.03,8,Rain,80
2015-6-15,17,14,13,17,13,11,99,90,77,998,994,991,10,9,4,26,16,32,17.02,7,Rain,44
2015-6-16,19,16,13,13,9,4,92,63,37,1007,1002,998,19,10,10,21,10,40,0.00,3,Rain,274
2015-6-17,27,20,13,19,12,6,78,58,48,1008,1007,1006,19,11,10,18,11,,0.00,3,Rain-Thunderstorm,178
2015-6-18,26,22,18,19,15,11,92,64,39,1012,1010,1007,19,11,10,14,8,,0.00,2,Thunderstorm,242
2015-6-19,27,22,17,19,14,8,90,64,42,1017,1013,1011,19,11,10,14,8,32,0.00,3,Rain-Thunderstorm,266
2015-6-20,20,17,13,11,6,2,77,49,31,1024,1022,1018,19,12,10,18,13,,0.00,2,,5
2015-6-21,20,14,8,12,6,2,95,53,30,1028,1025,1023,19,12,10,14,10,,0.00,3,Fog,69
2015-6-22,24,19,13,18,11,6,77,55,41,1023,1019,1012,19,14,10,21,11,,0.00,4,,218
2015-6-23,18,17,16,18,14,10,97,79,64,1015,1012,1006,19,10,6,26,13,,20.07,6,Rain,85
2015-6-24,16,13,11,14,9,5,95,78,48,1017,1010,1006,19,10,3,26,14,,5.08,7,Rain,28
2015-6-25,20,14,9,9,6,3,81,55,33,1020,1018,1017,19,19,19,14,10,,0.00,8,,350
2015-6-26,21,16,11,12,7,2,86,55,28,1019,1018,1017,19,19,19,18,8,26,0.00,8,,51
2015-6-27,25,18,11,14,9,6,94,56,32,1018,1016,1014,19,11,9,14,5,,0.00,2,,191
2015-6-28,26,20,14,17,13,11,94,61,37,1016,1015,1013,19,11,8,14,5,,0.00,2,Fog,230
2015-6-29,28,23,19,18,14,11,77,53,35,1014,1012,1010,19,11,10,18,10,,0.00,1,,223
2015-6-30,30,25,20,21,14,12,78,55,33,1010,1008,1007,19,11,10,26,11,,0.00,2,,221
2015-7-1,16,16,14,18,13,11,98,83,68,1011,1008,1006,19,10,9,29,18,,2.03,6,Rain-Thunderstorm,18
2015-7-2,20,17,13,17,12,10,95,75,63,1011,1006,997,19,10,7,29,16,,0.00,6,Rain-Thunderstorm,69
2015-7-3,27,22,18,19,16,13,96,72,44,997,988,983,10,10,8,29,19,,19.05,3,Rain-Thunderstorm,139
2015-7-4,12,10,9,14,7,3,95,75,54,994,989,983,19,10,6,32,24,55,3.05,6,Rain,227
