+05,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-4-8,8,4,1,3,-1,-4,100,77,36,1020,1017,1016,10,10,3,32,16,50,0.00,8,Snow,209
2015-4-9,5,3,1,5,1,-3,100,89,59,1020,1008,998,19,9,5,29,13,35,7.87,8,Rain-Snow,133
2015-4-10,6,4,2,5,2,-1,100,84,57,1007,1000,998,19,10,7,35,19,47,0.00,7,Rain,217
2015-4-11,8,4,-1,1,-1,-4,100,76,31,1011,1007,1003,10,10,3,29,14,43,0.00,7,Rain,217
2015-4-12,7,3,1,3,1,-1,100,86,52,1010,1004,1000,19,10,3,43,19,58,0.51,7,Rain-Snow,247
2015-4-13,8,3,-2,1,-2,-8,100,72,19,1021,1016,1010,10,8,1,32,21,50,0.00,6,Rain-Snow,271
2015-4-14,7,6,3,2,-1,-7,87,62,29,1018,1015,1011,19,10,10,26,16,,0.00,8,Rain,243
2015-4-15,14,8,1,3,0,-3,100,69,21,1012,1008,1006,19,10,3,14,6,,0.00,6,Fog,236
2015-4-16,16,10,4,3,-1,-6,93,57,14,1010,1009,1007,19,14,10,26,8,35,0.00,8,,188
2015-4-17,10,6,1,4,1,-2,93,70,29,1010,1005,999,19,10,10,32,13,50,0.00,7,Rain,199
2015-4-18,7,4,1,4,1,-4,100,76,36,1000,997,996,19,10,10,32,14,43,0.51,7,Rain,215
2015-4-19,11,6,1,1,-3,-7,93,61,19,1004,1002,1000,19,10,10,26,13,,0.00,5,Snow,242
2015-4-20,8,3,1,7,0,-6,100,84,34,1006,1002,994,19,9,3,26,8,,7.87,8,Rain,82
2015-4-21,9,6,2,7,-1,-7,100,64,19,1003,1000,995,10,9,3,40,19,55,0.00,7,Rain,218
2015-4-22,10,7,1,3,-1,-6,93,67,27,1007,1004,1002,10,10,10,32,16,43,0.00,6,Rain,235
2015-4-23,8,4,-1,4,-1,-6,100,82,35,1007,998,993,19,9,0,32,8,35,5.08,7,Rain-Snow-Thunderstorm,183
2015-4-24,12,6,1,5,1,-2,100,83,41,1007,997,994,19,10,1,32,19,43,1.02,7,Fog-Rain,199
2015-4-25,8,4,0,3,1,-4,100,82,34,1000,995,992,19,10,7,40,18,61,0.00,7,Rain,222
2015-4-26,9,4,-1,1,-3,-8,100,69,23,1003,999,998,19,10,9,29,11,35,0.00,5,Fog,273
2015-4-27,6,3,-1,0,-4,-9,87,66,22,1015,1009,1003,19,10,6,32,14,55,0.00,6,Snow,275
2015-4-28,13,7,0,-1,-6,-10,93,50,11,1023,1020,1015,19,11,10,21,10,35,0.00,6,,246
2015-4-29,21,10,0,3,-3,-8,86,47,12,1025,1021,1018,19,10,3,26,6,40,0.00,6,,220
2015-4-30,26,18,9,11,4,0,93,49,12,1022,1020,1019,19,11,9,26,8,,0.00,5,,229
2015-5-1,24,17,10,12,6,2,94,59,15,1024,1020,1019,19,10,8,29,5,58,0.51,6,Rain-Thunderstorm,313
2015-5-2,13,8,3,8,-5,-11,77,38,12,1035,1030,1024,19,10,8,29,18,43,0.00,7,Rain,71
2015-5-3,20,12,4,5,-2,-9,66,38,15,1031,1026,1021,10,10,10,26,13,,0.00,,,120
2015-5-4,21,15,9,9,6,1,72,54,29,1022,1016,1013,19,10,10,35,11,47,0.00,7,Rain,115
2015-5-5,26,17,8,12,8,3,100,67,17,1013,1009,1006,19,9,0,18,6,35,0.00,6,Fog,123
2015-5-6,14,9,4,12,2,-6,94,56,15,1017,1013,1007,19,10,8,29,16,35,0.00,8,,339
2015-5-7,11,7,2,0,-5,-8,75,43,16,1020,1017,1014,19,10,5,18,10,,0.00,8,,82
2015-5-8,13,9,5,2,-3,-10,81,46,10,1015,1012,1010,19,10,6,18,6,,0.00,8,,83
2015-5-9,4,3,2,3,-1,-5,100,73,23,1011,1006,1001,10,9,3,29,21,43,14.99,8,Rain-Snow,12
2015-5-10,7,4,1,4,2,0,100,92,60,1014,1006,1001,19,9,2,29,16,40,2.03,7,Rain-Snow,7
2015-5-11,15,9,2,5,2,0,100,70,26,1024,1020,1014,19,10,6,21,8,,0.00,6,Fog,323
2015-5-12,18,11,4,6,2,-1,100,59,18,1027,1024,1021,19,9,0,18,3,21,0.00,5,Fog,153
2015-5-13,21,13,6,7,2,-2,100,54,15,1022,1019,1016,19,11,7,14,6,21,0.00,5,,157
2015-5-14,21,13,7,7,3,0,93,56,17,1017,1016,1014,19,11,10,14,6,,0.00,7,,123
2015-5-15,21,16,10,11,6,2,93,60,19,1016,1014,1012,19,10,7,29,6,47,0.00,6,Rain,98
2015-5-16,18,14,12,11,9,3,94,70,33,1012,1007,1002,19,10,5,32,10,50,0.00,8,Rain,61
2015-5-17,16,13,9,12,11,8,100,93,58,1002,997,994,19,9,3,35,10,55,10.92,8,Rain-Thunderstorm,57
2015-5-18,16,11,7,12,9,6,100,90,48,1000,999,998,19,10,0,35,8,43,3.05,7,Fog-Rain-Thunderstorm,148
2015-5-19,14,11,7,10,7,5,100,87,43,1001,999,998,19,9,0,18,6,,0.00,7,Fog-Rain-Thunderstorm,171
2015-5-20,18,12,6,9,7,3,100,70,27,1004,1000,998,10,10,10,21,10,35,0.00,6,Fog-Rain,329
2015-5-21,18,13,9,9,6,-6,94,61,11,1010,1007,1004,19,11,9,29,16,47,0.00,7,Rain,332
2015-5-22,16,9,3,2,-5,-14,87,38,7,1014,1012,1010,10,10,10,29,11,43,0.00,,,346
2015-5-23,21,9,-2,13,2,-9,93,55,12,1016,1012,1009,10,9,6,21,5,,0.00,8,Rain,248
2015-5-24,16,12,9,13,10,7,100,94,62,1015,1012,1010,19,10,3,21,8,32,0.00,8,Rain,35
2015-5-25,20,14,8,13,10,7,100,78,38,1018,1015,1014,19,11,10,26,8,35,0.00,7,Fog,232
2015-5-26,21,13,6,13,7,2,100,61,19,1021,1019,1016,19,11,9,26,11,43,0.00,4,Fog,290
2015-5-27,25,14,4,10,7,0,100,57,19,1020,1017,1015,19,11,10,29,8,29,0.00,4,Fog,284
